ID,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2
01082,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",89.92,42,3.37,0.97,0.75,4.99,0,5.2,125,0.03,11,95,150,44,0.42,0.01,0.003,3.3,0,0.02,0.185,0.093,0.361,0.037,5,0,5,5,17.7,0.47,196,58,58,0,2,0,0,0,0.01,1.2,48,0.1,0.633,0.277,0.035,5,244,1 cup,30.5,1 fl oz
01083,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D",89.81,43,3.48,0.97,0.77,4.97,0,,128,0.05,14,100,162,52,0.4,0.01,0.002,2.3,1,0.04,0.173,0.09,0.336,0.045,5,0,5,5,,0.38,204,59,58,,,,,,,1,40,,0.604,0.28,0.036,4,245,1 cup,980,1 quart
01084,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D",88.74,48,3.93,1.17,0.86,5.52,0,,142,0.06,16,111,180,58,0.45,0.01,0.002,2.5,1.2,0.045,0.192,0.1,0.373,0.05,6,0,6,6,,0.43,203,61,61,,,,,,,1,40,,0.728,0.338,0.043,4,246,1 cup,984,1 quart
01085,"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",90.84,34,3.37,0.08,0.75,4.96,0,5.09,122,0.03,11,101,156,42,0.42,0.013,0.003,3.1,0,0.045,0.182,0.094,0.357,0.037,5,0,5,5,15.6,0.5,204,61,61,0,0,0,0,0,0.01,1.2,47,0,0.056,0.022,0.003,2,245,1 cup,30.6,1 fl oz
01086,"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",90.38,37,3.57,0.25,0.78,5.02,0,5.02,129,0.05,15,104,171,53,0.41,0.011,0.002,2.2,1,0.041,0.175,0.091,0.339,0.046,5,0,5,5,16,0.39,214,64,64,0,0,0,0,0,0.01,1.2,49,0,0.162,0.065,0.009,2,245,1 cup,30.6,1 fl oz
01087,"MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)",89.36,41,3.96,0.25,0.87,5.56,0,,143,0.06,16,112,182,59,0.45,0.011,0.002,2.4,1.1,0.045,0.194,0.101,0.376,0.05,6,0,6,6,,0.43,203,61,61,,,,,,,1,40,,0.162,0.065,0.009,2,246,1 cup,984,1 quart
01088,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",90.13,40,3.31,0.88,0.89,4.79,0,4.79,116,0.05,11,89,151,190,0.42,0.011,0.002,2,1,0.034,0.154,0.058,0.275,0.034,5,0,5,5,17.7,0.22,47,14,13,0,1,0,0,0,0.05,0,1,0.1,0.548,0.254,0.033,4,245,1 cup,30.6,1 fl oz
01089,"MILK,LO NA,FLUID",88.2,61,3.1,3.46,0.78,4.46,0,4.46,101,0.05,5,86,253,3,0.38,0.01,0.004,2,0.9,0.02,0.105,0.043,0.304,0.034,5,0,5,5,16,0.36,105,29,28,0,7,0,0,0,0.08,1.3,51,0.3,2.154,0.999,0.128,14,244,1 cup,30.5,1 fl oz
01090,"MILK,DRY,WHL,W/ ADDED VITAMIN D",2.47,496,26.32,26.71,6.08,38.42,0,38.42,912,0.47,85,776,1330,371,3.34,0.08,0.04,16.3,8.6,0.283,1.205,0.646,2.271,0.302,37,0,37,37,119.3,3.25,934,258,253,0,55,0,0,0,0.58,10.5,420,2.2,16.742,7.924,0.665,97,32,.25 cup,128,1 cup
01091,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",3.16,362,36.16,0.77,7.93,51.98,0,51.98,1257,0.32,110,968,1794,535,4.08,0.041,0.02,27.3,6.8,0.415,1.55,0.951,3.568,0.361,50,0,50,50,169.2,4.03,22,6,6,0,1,0,0,0,0,0,0,0.1,0.499,0.201,0.03,20,30,.25 cup,120,1 cup
01092,"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",3.96,358,35.1,0.72,8.03,52.19,0,52.19,1231,0.31,117,985,1705,549,4.41,0.041,0.02,27.3,5.6,0.413,1.744,0.891,3.235,0.345,50,0,50,50,167.8,3.99,2365,709,709,0,1,0,0,0,0.01,11,440,0,0.467,0.187,0.028,18,68,1 cup,91,"1 envelope,  (1-1/3 cup)"
01093,"MILK,DRY,NONFAT,CA RED",4.9,354,35.5,0.2,7.6,51.8,0,,280,0.32,60,1011,680,2280,4.03,0.016,0.008,27.3,6.7,0.163,1.642,0.665,3.312,0.298,50,0,50,50,,3.98,8,2,1,,,,,,,,,,0.124,0.058,0.007,2,28.35,1 oz,113,.25 lb
01094,"MILK,BUTTERMILK,DRIED",2.97,387,34.3,5.78,7.95,49,0,49,1184,0.3,110,933,1592,517,4.02,0.111,0.023,20.3,5.7,0.392,1.579,0.876,3.17,0.338,47,0,47,47,118.7,3.82,175,49,48,0,9,0,0,0,0.1,0.5,20,0.4,3.598,1.669,0.215,69,30,.25 cup,120,1 cup
01095,"MILK,CND,COND,SWTND",27.16,321,7.91,8.7,1.83,54.4,0,54.4,284,0.19,26,253,371,127,0.94,0.015,0.006,14.8,2.6,0.09,0.416,0.21,0.75,0.051,11,0,11,11,89.1,0.44,267,74,73,0,14,0,0,0,0.16,0.2,6,0.6,5.486,2.427,0.337,34,38.2,1 fl oz,306,1 cup
01096,"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A",74.04,134,6.81,7.56,1.55,10.04,0,10.04,261,0.19,24,203,303,106,0.77,0.016,0.006,2.3,1.9,0.047,0.316,0.194,0.638,0.05,8,0,8,8,31.8,0.16,233,65,64,0,12,0,0,0,0.14,2,79,0.5,4.591,2.335,0.245,29,31.5,1 fl oz,252,1 cup
01097,"MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D",79.4,78,7.55,0.2,1.5,11.35,0,11.35,290,0.29,27,195,332,115,0.9,0.016,0.006,2.5,1.2,0.045,0.309,0.174,0.738,0.055,9,0,9,9,25.2,0.24,394,118,118,0,0,0,0,0,0,2,79,0,0.121,0.062,0.006,4,31.9,1 fl oz,256,1 cup
01102,"MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D",82.3,83,3.17,3.39,0.8,10.34,0.8,9.54,112,0.24,13,101,167,60,0.41,0.065,0.077,1.9,0.9,0.037,0.162,0.125,0.295,0.04,5,0,5,5,17,0.33,98,27,26,0,7,0,0,0,0.07,1.3,51,0.3,2.104,0.99,0.124,12,250,1 cup,31.2,1 fl oz
01103,"MILK,CHOC,FLUID,COMM,RED FAT",82.17,76,2.99,1.9,0.81,12.13,0.7,9.55,109,0.24,14,102,169,66,0.39,0.075,0.062,3.4,0,0.045,0.183,0.164,0.539,0.024,2,0,2,2,17.1,0.33,227,64,63,0,11,0,0,0,0.04,1.2,49,0.2,1.177,0.455,0.089,8,250,1 cup,31.2,1 fl oz
01104,"MILK,CHOC,LOWFAT,W/ ADDED VIT A & VITAMIN D",84.91,62,3.46,1,0.78,9.86,0.1,9.94,129,0.23,13,96,172,65,0.43,0.028,0.03,1.9,0.4,0.031,0.247,0.124,0.43,0.047,3,0,3,3,17,0.23,174,52,51,0,2,0,0,0,0,1.1,43,0.1,0.584,0.541,0.095,5,250,1 cup,1000,1 quart
01105,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",82.45,77,3.52,2.34,0.65,10.74,1,9.66,114,0.42,23,105,197,44,0.63,0.103,0.013,2.7,0.2,0.039,0.182,0.133,0.328,0.04,5,0,5,5,15.6,0.49,176,51,51,0,4,0,0,0,0.03,1.1,45,0.2,1.431,0.677,0.084,8,250,1 cup,31.2,1 fl oz
01106,"MILK,GOAT,FLUID,W/ ADDED VITAMIN D",87.03,69,3.56,4.14,0.82,4.45,0,4.45,134,0.05,14,111,204,50,0.3,0.046,0.018,1.4,1.3,0.048,0.138,0.277,0.31,0.046,1,0,1,1,16,0.07,198,57,56,0,7,0,0,0,0.07,1.3,51,0.3,2.667,1.109,0.149,11,30.5,1 fl oz,244,1 cup
01107,"MILK,HUMAN,MATURE,FLUID",87.5,70,1.03,4.38,0.2,6.89,0,6.89,32,0.03,3,14,51,17,0.17,0.052,0.026,1.8,5,0.014,0.036,0.177,0.223,0.011,5,0,5,5,16,0.05,212,61,60,0,7,0,0,0,0.08,0.1,3,0.3,2.009,1.658,0.497,14,30.8,1 fl oz,246,1 cup
01108,"MILK,INDIAN BUFFALO,FLUID",83.39,97,3.75,6.89,0.79,5.18,0,,169,0.12,31,117,178,52,0.22,0.046,0.018,,2.3,0.052,0.135,0.091,0.192,0.023,6,0,6,6,,0.36,178,53,53,,,,,,,,,,4.597,1.787,0.146,19,244,1 cup,976,1 quart
01109,"MILK,SHEEP,FLUID",80.7,108,5.98,7,0.96,5.36,0,,193,0.1,18,158,137,44,0.54,0.046,0.018,1.7,4.2,0.065,0.355,0.417,0.407,0.06,7,0,7,7,,0.71,147,44,44,,,,,,,,,,4.603,1.724,0.308,27,245,1 cup,980,1 quart
01110,"MILK SHAKES,THICK CHOC",72.2,119,3.05,2.7,0.9,21.15,0.3,20.85,132,0.31,16,126,224,111,0.48,0.065,0.039,1.9,0,0.047,0.222,0.124,0.363,0.025,5,0,5,5,17,0.32,67,18,18,0,4,0,0,0,0.05,1,41,0.2,1.681,0.78,0.1,11,28.4,1 fl oz,300,"1 container,  (10.6 oz)"
01111,"MILK SHAKES,THICK VANILLA",74.45,112,3.86,3.03,0.91,17.75,0,17.75,146,0.1,12,115,183,95,0.39,0.051,0.014,2.3,0,0.03,0.195,0.146,0.368,0.042,7,0,7,7,14.3,0.52,91,25,25,0,5,0,0,0,0.05,1.2,48,0.2,1.886,0.875,0.113,12,28.4,1 fl oz,313,"1 container,  (11 oz)"
01112,"WHEY,ACID,FLUID",93.42,24,0.76,0.09,0.61,5.12,0,5.12,103,0.08,10,78,143,48,0.43,0.003,0.002,1.8,0.1,0.042,0.14,0.079,0.381,0.042,2,0,2,2,16,0.18,7,2,2,0,0,0,0,0,0,,,0,0.057,0.025,0.004,1,246,1 cup,984,1 quart
01113,"WHEY,ACID,DRIED",3.51,339,11.73,0.54,10.77,73.45,0,73.45,2054,1.24,199,1349,2289,968,6.31,0.05,0.015,27.3,0.9,0.622,2.06,1.16,5.632,0.62,33,0,33,33,225,2.5,59,17,17,0,1,0,0,0,0,0,0,0,0.342,0.149,0.021,3,57,1 cup,2.9,1 tbsp
01114,"WHEY,SWEET,FLUID",93.12,27,0.85,0.36,0.53,5.14,0,5.14,47,0.06,8,46,161,54,0.13,0.004,0.001,1.9,0.1,0.036,0.158,0.074,0.383,0.031,1,0,1,1,16,0.28,12,3,3,0,1,0,0,0,0,,,0,0.23,0.1,0.011,2,246,1 cup,984,1 quart
01115,"WHEY,SWEET,DRIED",3.19,353,12.93,1.07,8.35,74.46,0,74.46,796,0.88,176,932,2080,1079,1.97,0.07,0.009,27.2,1.5,0.519,2.208,1.258,5.62,0.584,12,0,12,12,225,2.37,30,8,8,0,2,0,0,0,0.02,0,0,0.1,0.684,0.297,0.034,6,145,1 cup,7.5,1 tbsp
01116,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",87.9,61,3.47,3.25,0.72,4.66,0,4.66,121,0.05,12,95,155,46,0.59,0.009,0.004,2.2,0.5,0.029,0.142,0.075,0.389,0.032,7,0,7,7,15.2,0.37,99,27,27,0,5,0,0,0,0.06,0.1,2,0.2,2.096,0.893,0.092,13,170,"1 container,  (6 oz)",227,"1 container,  (8 oz)"
01117,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",85.07,63,5.25,1.55,1.09,7.04,0,7.04,183,0.08,17,144,234,70,0.89,0.013,0.004,3.3,0.8,0.044,0.214,0.114,0.591,0.049,11,0,11,11,15.2,0.56,51,14,14,0,2,0,0,0,0.03,0,1,0.2,1,0.426,0.044,6,170,"1 container,  (6 oz)",227,"1 container,  (8 oz)"
01118,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",85.23,56,5.73,0.18,1.18,7.68,0,7.68,199,0.09,19,157,255,77,0.97,0.015,0.005,3.6,0.9,0.048,0.234,0.124,0.641,0.053,12,0,12,12,15.2,0.61,7,2,2,0,0,0,0,0,0,0,0,0.2,0.116,0.049,0.005,2,170,"1 container,  (6 oz)",227,"1 container,  (8 oz)"
01119,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",79,85,4.93,1.25,1.02,13.8,0,13.8,171,0.07,16,135,219,66,0.83,0.013,0.004,4.9,0.8,0.042,0.201,0.107,0.552,0.045,11,0,11,11,15.2,0.53,43,12,12,0,2,0,0,0,0.02,0,1,0.1,0.806,0.343,0.036,5,170,"1 container,  (6 oz)",227,"1 container,  (8 oz)"
01120,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",75.3,99,3.98,1.15,0.93,18.64,0,18.64,138,0.06,13,109,177,53,0.67,0.079,0.064,2.8,0.6,0.034,0.162,0.086,0.446,0.037,9,0,9,9,15.2,0.43,40,11,11,0,2,0,0,0,0.02,0,1,0.1,0.742,0.316,0.033,5,170,"1 container,  (6 oz)",125,"1 container,  (4.4 oz)"
01121,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",74.48,102,4.37,1.08,1.02,19.05,0,19.05,152,0.07,15,119,195,58,0.74,0.08,0.065,3.1,0.7,0.037,0.178,0.095,0.489,0.04,9,0,9,9,14,0.47,36,10,10,0,2,0,0,0,0.02,0,1,0.1,0.697,0.297,0.031,4,170,"1 container,  (6 oz)",245,"1 cup,  (8 fl oz)"
01122,"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",74.1,105,4.86,1.41,1.03,18.6,0,,169,0.07,16,133,216,65,0.82,0.08,0.065,3.1,0.7,0.041,0.198,0.105,0.544,0.045,10,0,10,10,,0.52,60,,,,,,,,,,,,0.909,0.387,0.04,6,170,"1 container,  (6 oz)",113,".5 container,  (4 oz)"
01123,"EGG,WHL,RAW,FRSH",76.15,143,12.56,9.51,1.06,0.72,0,0.37,56,1.75,12,198,138,142,1.29,0.072,0.028,30.7,0,0.04,0.457,0.075,1.533,0.17,47,0,47,47,293.8,0.89,540,160,160,0,0,9,0,503,1.05,2,82,0.3,3.126,3.658,1.911,372,50,1 large,56,1 extra large
01124,"EGG,WHITE,RAW,FRESH",87.57,52,10.9,0.17,0.63,0.73,0,0.71,7,0.08,11,15,163,166,0.03,0.023,0.011,20,0,0.004,0.439,0.105,0.19,0.005,4,0,4,4,1.1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1 large,243,1 cup
01125,"EGG,YOLK,RAW,FRSH",52.31,322,15.86,26.54,1.71,3.59,0,0.56,129,2.73,5,390,109,48,2.3,0.077,0.055,56,0,0.176,0.528,0.024,2.99,0.35,146,0,146,146,820.2,1.95,1442,381,371,38,88,33,0,1094,2.58,5.4,218,0.7,9.551,11.738,4.204,1085,17,1 large,243,1 cup
01126,"EGG,YOLK,RAW,FRZ,PAST",56.44,296,15.53,25.6,1.62,0.81,0,0.16,134,4.55,11,420,121,67,3.17,0,0.078,56.4,0,0.223,0.563,0.031,3.437,0.412,151,0,151,151,639.3,1.9,1469,419,419,36,10,32,0,904,2.24,6,238,0.7,8.615,9.956,4.827,991,28.35,1 oz,227,.5 lb
01127,"EGG,YOLK,RAW,FRZ,SUGARED,PAST",51.23,307,13.87,22.82,1.13,10.95,0,10.3,124,3.7,10,404,105,70,3.06,0.012,0.08,53.5,0,0.14,0.523,0.037,3.287,0.398,174,0,174,174,669.3,1.64,1103,316,313,38,0,33,0,967,2.25,3.1,123,0.7,7.11,8.885,3.856,917,28.35,1 oz,227,.5 lb
01128,"EGG,WHL,CKD,FRIED",69.47,196,13.61,14.84,1.26,0.83,0,0.4,62,1.89,13,215,152,207,1.39,0.078,0.03,33.1,0,0.044,0.495,0.082,1.66,0.184,51,0,51,51,317.1,0.97,787,219,216,0,35,10,0,543,1.31,2.2,88,5.6,4.323,6.182,3.251,401,46,1 large,,
01129,"EGG,WHL,CKD,HARD-BOILED",74.62,155,12.58,10.61,1.08,1.12,0,1.12,50,1.19,10,172,126,124,1.05,0.013,0.026,30.8,0,0.066,0.513,0.064,1.398,0.121,44,0,44,44,293.8,1.11,520,149,148,0,11,10,0,353,1.03,2.2,87,0.3,3.267,4.077,1.414,373,136,"1 cup, chopped",8.5,1 tbsp
01130,"EGG,WHOLE,COOKED,OMELET",76.13,154,10.57,11.66,1.01,0.64,0,0.31,48,1.48,11,167,117,155,1.09,0.063,0.024,25.8,0,0.034,0.386,0.064,1.289,0.143,39,0,39,39,247.6,0.76,617,172,169,0,28,8,0,423,1.29,1.7,69,4.5,3.319,4.843,2.712,313,15,1 tbsp,61,1 large
01131,"EGG,WHL,CKD,POACHED",75.85,143,12.51,9.47,1.46,0.71,0,0.37,56,1.75,12,197,138,297,1.29,0.072,0.028,30.6,0,0.032,0.387,0.063,1.527,0.144,35,0,35,35,234.1,0.71,538,160,159,0,0,9,0,501,1.04,2,82,0.3,3.113,3.643,1.904,370,50,1 large,,
01132,"EGG,WHL,CKD,SCRMBLD",76.4,149,9.99,10.98,1.01,1.61,0,1.39,66,1.31,11,165,132,145,1.04,0.059,0.022,23.5,0,0.04,0.376,0.076,1.217,0.134,36,0,36,36,221,0.76,578,161,159,0,26,7,0,372,1.15,1.8,72,4,3.331,4.441,2.429,277,61,1 large,13.7,1 tbsp
01133,"EGG,WHL,DRIED",2.78,592,48.05,43.9,4.13,1.13,0,0.56,244,7.2,34,629,540,476,3.15,0.203,0.058,164.7,0,0.183,1.977,0.34,5.55,0.499,119,0,119,119,1266.7,2.96,999,300,300,0,0,36,0,835,3.88,8.3,331,1.2,15.069,16.726,8.314,1630,85,"1 cup,  sifted",5,1 tbsp
01134,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",1.87,615,48.17,43.95,3.63,2.38,0,,222,8.28,49,715,515,548,5.71,0.27,0.15,121.1,0,0.325,1.232,0.259,6.71,0.42,193,0,193,193,,10.51,2050,616,616,,,,,,,,,,13.198,17.564,5.713,2017,85,"1 cup,  sifted",5,1 tbsp
01135,"EGG,WHITE,DRIED,FLAKES,STABILIZED,GLUCOSE RED",14.62,351,76.92,0.04,4.25,4.17,0,0,83,0.23,67,83,1042,1156,0.15,0.23,0.07,116.8,0,0.035,2.162,0.675,1.829,0.023,89,0,89,89,8.4,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.35,1 oz,227,.5 lb
01136,"EGG,WHITE,DRIED,PDR,STABILIZED,GLUCOSE RED",8.54,376,82.4,0.04,4.55,4.47,0,0,89,0.24,72,89,1116,1238,0.16,0.17,0.05,125.1,0,0.037,2.316,0.723,1.958,0.024,96,0,96,96,8.4,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,"1 cup,  sifted",7,1 tbsp
01137,"EGG,YOLK,DRIED",3.08,669,33.63,59.13,3.51,0.66,0,0.23,289,9.56,26,1040,264,149,7.73,0,0.185,139.3,0,0.387,1.257,0.083,9.063,0.742,209,0,209,209,2403.3,5.11,1590,477,477,79,0,70,0,1133,4.81,10.4,417,1.5,20.334,23.377,10.32,2307,67,"1 cup,  sifted",4,1 tbsp
01138,"EGG,DUCK,WHOLE,FRESH,RAW",70.83,185,12.81,13.77,1.14,1.45,0,0.93,64,3.85,17,220,222,146,1.41,0.062,0.038,36.4,0,0.156,0.404,0.2,1.862,0.25,80,0,80,80,263.4,5.4,674,194,192,0,14,12,0,459,1.34,1.7,69,0.4,3.681,6.525,1.223,884,70,1 egg,,
01139,"EGG,GOOSE,WHOLE,FRESH,RAW",70.43,185,13.87,13.27,1.08,1.35,0,0.94,60,3.64,16,208,210,138,1.33,0.062,0.038,36.9,0,0.147,0.382,0.189,1.759,0.236,76,0,76,76,263.4,5.1,650,187,185,0,13,12,0,442,1.29,1.7,66,0.4,3.595,5.747,1.672,852,144,1 egg,,
01140,"EGG,QUAIL,WHOLE,FRESH,RAW",74.35,158,13.05,11.09,1.1,0.41,0,0.4,64,3.65,13,226,132,141,1.47,0.062,0.038,32,0,0.13,0.79,0.15,1.761,0.15,66,0,66,66,263.4,1.58,543,156,155,0,11,10,0,369,1.08,1.4,55,0.3,3.557,4.324,1.324,844,9,1 egg,,
01141,"EGG,TURKEY,WHL,FRSH,RAW",72.5,171,13.68,11.88,0.79,1.15,0,,99,4.1,13,170,142,151,1.58,0.062,0.038,34.3,0,0.11,0.47,0.024,1.889,0.131,71,0,71,71,,1.69,554,166,166,,,,,,,,,,3.632,4.571,1.658,933,79,1 egg,,
01144,"EGG SUBSTITUTE,POWDER",3.86,444,55.5,13,5.84,21.8,0,21.8,326,3.16,65,478,744,800,1.82,0.207,0.08,127.7,0.8,0.226,1.76,0.577,3.384,0.143,125,0,125,125,117.6,3.52,1230,369,369,0,0,0,0,0,1.26,0,0,0.4,3.766,5.341,1.683,572,9.9,.35 oz,20,.7 oz
01145,"BUTTER,WITHOUT SALT",17.94,717,0.85,81.11,0.09,0.06,0,0.06,24,0.02,2,24,24,11,0.09,0.016,0.004,1,0,0.005,0.034,0.042,0.11,0.003,3,0,3,3,18.8,0.17,2499,684,671,0,158,0,0,0,2.32,0,0,7,50.489,23.43,3.01,215,5,"1 pat,  (1"" sq, 1/3"" high)",14.2,1 tbsp
01146,"CHEESE,PARMESAN,SHREDDED",25,415,37.86,27.34,6.39,3.41,0,0.9,1253,0.87,51,735,97,1696,3.19,0.037,0.023,23.9,0,0.041,0.352,0.287,0.527,0.105,8,0,8,8,15.4,1.4,865,229,223,0,73,0,0,0,0.25,0.5,21,1.9,17.37,8.734,0.661,72,5,1 tbsp,,
01151,"MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",90.84,34,3.37,0.08,0.75,4.96,0,5.09,122,0.03,11,101,156,42,0.42,0.013,0.003,3.1,0,0.045,0.182,0.094,0.357,0.037,5,0,5,5,15.6,0.5,15,2,1,0,7,0,0,0,0.01,0,0,0,0.051,0.021,0.003,2,245,1 cup,980,1 quart
01152,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",87.71,56,3.95,1.98,0.87,5.49,0,,143,0.06,15,112,182,59,0.41,0.011,0.002,2.6,1.1,0.045,0.194,0.101,0.339,0.046,5,0,5,5,,0.39,75,17,16,,,,,,,,,,1.232,0.065,0.009,8,245,1 cup,980,1 quart
01153,"MILK,CND,EVAP,W/ VIT A",74.04,134,6.81,7.56,1.55,10.04,0,,261,0.19,24,203,303,106,0.77,0.016,0.006,2.3,1.9,0.047,0.316,0.194,0.638,0.05,8,0,8,8,,0.16,397,,,,,,,,,,,,4.591,2.335,0.245,29,31.5,1 fl oz,126,.5 cup
01154,"MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",3.16,362,36.16,0.77,7.93,51.98,0,51.98,1257,0.32,110,968,1794,535,4.08,0.041,0.02,27.3,6.8,0.415,1.55,0.951,3.568,0.361,50,0,50,50,169.2,4.03,2179,653,653,0,1,0,0,0,0,11,440,0.1,0.499,0.2,0.03,20,30,.25 cup,120,1 cup
01155,"MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",3.96,358,35.1,0.72,8.03,52.19,0,52.19,1231,0.31,117,985,1705,549,4.41,0.041,0.02,27.3,5.6,0.413,1.744,0.891,3.23,0.345,50,0,50,50,167.8,3.99,15,4,4,0,1,0,0,0,0.01,0,0,0,0.47,0.19,0.03,18,68,1 cup,91,"1 envelope,  (1-1/3 cup)"
01156,"CHEESE,GOAT,HARD TYPE",29.01,452,30.52,35.59,3.72,2.17,0,2.17,895,1.88,54,729,48,423,1.59,0.627,0.252,5.5,0,0.14,1.19,2.4,0.41,0.08,4,0,4,4,15.4,0.12,1745,486,478,0,91,0,0,0,0.31,0.7,26,3,24.609,8.117,0.845,105,28.35,1 oz,,
01157,"CHEESE,GOAT,SEMISOFT TYPE",45.52,364,21.58,29.84,2.94,0.12,0,0.12,298,1.62,29,375,158,415,0.66,0.564,0.093,3.8,0,0.072,0.676,1.148,0.19,0.06,2,0,2,2,15.4,0.22,1464,407,401,0,77,0,0,0,0.26,0.5,22,2.5,20.639,6.808,0.709,79,28.35,1 oz,,
01159,"CHEESE,GOAT,SOFT TYPE",60.75,264,18.52,21.08,1.58,0,0,0,140,1.9,16,256,26,459,0.92,0.732,0.1,2.8,0,0.07,0.38,0.43,0.68,0.25,12,0,12,12,15.4,0.19,1033,288,283,0,54,0,0,0,0.18,0.4,15,1.8,14.575,4.807,0.501,46,28.35,1 oz,,
01160,"EGG,YOLK,RAW,FRZ,SALTED,PAST",50.87,275,14.07,22.93,10.37,1.77,0,0.07,113,3.4,7,414,111,3487,2.87,0.121,0.065,56.9,0,0.14,0.427,0.027,3.167,0.402,112,0,112,112,705,1.61,1043,313,313,38,0,33,0,712,2.28,3.1,126,0.7,7.159,9.07,3.733,912,28.35,1 oz,227,.5 lb
01161,"CHEESE SUB,MOZZARELLA",47.36,248,11.47,12.22,5.27,23.67,0,23.67,610,0.4,41,583,455,685,1.92,0.11,0.028,19.2,0.1,0.026,0.444,0.317,0.083,0.051,11,0,11,11,13.7,0.81,1457,437,437,0,0,0,0,0,0.11,0,0,1,3.711,6.243,1.738,0,113,"1 cup, shredded",28.35,1 oz
01164,"CHEESE SAU,PREP FROM RECIPE",66.86,197,10.33,14.92,2.41,5.48,0.1,0.19,311,0.35,19,229,142,493,1.26,0.019,0.04,6.6,0.6,0.044,0.243,0.204,0.233,0.045,10,2,8,11,5.1,0.35,310,82,80,0,26,0,0,0,0.09,1,41,0.9,8.034,4.735,1.397,38,30,2 tbsp,243,1 cup
01165,"CHEESE,MEXICAN,QUESO ANEJO",38.06,373,21.44,29.98,5.89,4.63,0,4.63,680,0.47,28,444,87,1131,2.94,0.008,0.037,14.5,0,0.02,0.209,0.032,0.252,0.047,1,0,1,1,15.4,1.38,220,64,64,0,4,0,0,0,0.26,0.5,22,2.5,19.033,8.528,0.901,105,132,"1 cup, crumbled",28.35,1 oz
01166,"CHEESE,MEXICAN,QUESO ASADERO",42.16,356,22.6,28.26,4.11,2.87,0,2.87,661,0.51,26,443,86,705,3.02,0.026,0.036,14.5,0,0.021,0.223,0.181,0.231,0.053,8,0,8,8,15.4,1,190,55,55,0,4,0,0,0,0.24,0.5,21,2.4,17.939,8.038,0.85,105,132,"1 cup, diced",113,"1 cup, shredded"
